Metric	Low_Effort	Medium_Effort	High_Effort	Diff_Low_Med	Diff_Med_High	Diff_Low_High
WNS.func_clk	-1631.6	-453	-84	72.24	81.46	94.85
TNS.func_clk	1631	453	84	72.23	81.46	94.85
TNS.default	0	0	0	NaN	NaN	NaN
overall_WNS	-1631.6	-453	-84	72.24	81.46	94.85
overall_TNS	1631	453	84	72.23	81.46	94.85
Violating_paths	1	1	1	0	0	0
runtime	1	1	1	0	0	0
memory	30.83	16.16	-1	47.58	106.19	103.24
utilization	0	0	0	NaN	NaN	NaN
Inverter_count	20	1	5	95	400	75
Buffer_count	11	0	0	NaN	NaN	NaN
timing_model_count	0	0	0	NaN	NaN	NaN
sequential_count	16	16	16	0	0	0
unresolved_count	0	0	0	NaN	NaN	NaN
logic_count	57	71	84	24.56	18.31	47.37
Total_area	291.85	262.31	257.87	10.12	1.69	11.64
Cell_area	291.85	262.31	257.87	10.12	1.69	11.64
Net_area	0	0	0	NaN	NaN	NaN
